LocationID,Loc1,Loc2,Loc3,Loc4,Loc5,Loc6,Loc7,Loc8,Loc9,Loc10,Loc11,Loc12,Loc13,Loc14,Loc15,Loc16,Loc17,Loc18,Loc19,Loc20,Loc21,Loc22,Loc23,Loc24,Loc25,Junc1,Junc2,Junc3,Junc4,Junc5,Junc6,Junc7,Junc8,Junc9,Junc10,Junc11,Junc12,Junc13,Junc14,Junc15,Junc16,Junc17,Junc18,Junc19,Junc20,Junc21,Junc22,Junc23,Junc24,Junc25,Res1,Res2,Res3,Res4,Res5,Res6,Res7,Res8,Res9,Res10,Res11,Res12,Res13,Res14,Res15,Res16,Res17,Res18,Res19,Res20
Loc15,24.21,12.32,16.12,14.98,7.61,14.72,9.21,11.04,23.02,16.95,15.39,5.15,15.14,12.71,0,25.91,9.36,2.82,6.26,10.46,10.15,8.49,25.31,3.07,12.24,10.54,8.27,8.35,10.4,11.27,9.61,5.13,9.61,6.33,4.73,7.61,5.17,11,9.07,9.03,6.21,10.08,9.87,8.51,7.61,10.69,15.91,5.04,9.06,10.78,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc16,34.71,21.18,26.38,25.24,24.23,30.84,23.14,19.89,36.59,30.52,28.96,20.85,25.64,22.97,25.91,0,25.49,20.8,24.64,25.67,20.92,17.34,35.81,21.12,28.21,20.59,20.9,17.2,20.9,21.53,22.3,23.51,21.53,23,15.77,10.87,23.22,23.23,21.07,19.77,24.59,8.28,23.44,17.36,18.74,16.31,26.17,21.57,24.34,26.9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc17,20.63,10.37,11.96,10.81,1.56,6.99,2.71,11.64,16.52,10.45,8.89,12.31,10.17,8.55,9.3,25.38,0,6.86,8.04,2.73,6.25,8.36,21.73,6.46,4.52,6.54,5.32,10.16,5.68,7.11,3.11,6.92,3.88,2.96,10.56,14.65,7.41,4.5,4.43,6.31,7.99,17.12,3.37,8.38,6.41,11.3,11.75,5.17,2.56,3.05,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc18,21.44,9.59,13.35,12.21,5.16,12.27,6.76,8.3,20.57,14.5,12.95,5.83,12.37,9.94,2.82,20.78,6.92,0,3.82,8.01,7.38,5.76,22.54,0.62,9.8,7.77,5.5,5.62,7.63,8.5,7.17,2.69,6.84,3.88,5.43,10.05,2.73,8.56,6.3,6.26,3.76,12.52,7.42,5.77,4.83,7.96,13.14,2.59,6.62,8.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc19,25.95,13.09,15.91,14.76,2.52,13.53,8.02,11.8,21.83,15.77,14.21,9.26,15.49,12.5,6.25,24.29,8.18,3.8,0,9.27,9.93,9.26,27.05,3.41,11.06,10.32,8.06,9.12,10.19,11.06,8.43,3.34,9.2,5.14,8.93,13.55,3.83,9.82,8.86,8.81,1.91,16.02,8.68,9.28,7.39,11.46,15.7,4.82,7.88,9.59,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc20,19.64,10.61,12.2,11.06,5.34,6.89,4.05,11.88,14.98,8.91,7.35,13.48,9.19,8.79,10.47,25.62,2.77,8.03,9.21,0,6.5,8.61,20.75,7.63,2.87,6.79,5.56,10.4,5.93,7.35,3.39,8.08,4.13,4.12,11.86,14.89,8.58,3.41,4.67,6.55,9.16,17.36,2.23,8.62,6.65,11.54,11.99,6.34,3.12,3.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc21,14.86,5.43,7.03,5.88,7.01,11.03,3.33,6.53,16.77,10.71,9.15,13.98,5.78,3.62,9.74,20.27,5.68,7.3,9.48,5.86,0,3.26,15.96,6.9,8.4,1.16,1.49,5.05,1.05,2.18,2.49,8.35,1.72,5.79,6.5,9.54,8.84,3.42,1.26,1.75,9.42,12.01,3.63,3.27,2.58,6.19,6.82,6.41,4.53,7.09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc22,17.73,5.61,9.39,8.25,9.15,13.86,6.15,4.71,19.6,13.53,11.98,11.06,8.65,5.98,8.46,17.35,8.51,5.73,9.57,8.68,3.93,0,18.83,6.04,11.22,3.6,3.91,2.13,3.92,4.54,5.32,8.44,4.54,7.93,3.58,6.62,8.15,6.24,4.09,2.78,9.51,9.09,6.45,0.01,4.32,4.22,9.18,6.5,7.36,9.92,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc23,2.16,17.77,10.43,12.61,23.16,27.18,18.29,21.04,26.66,18.52,17.77,29.66,13.94,16.94,25.29,35.96,21.83,22.84,27.02,20.65,15.71,18.94,0,22.45,21.72,17.09,17.03,20.74,15,15.5,17.45,25.9,16.74,21.94,22.19,25.23,26.39,17.77,17.28,17.3,26.98,27.69,18.42,18.95,18.12,21.88,11.17,21.95,19.32,23.24,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc24,21.14,10.59,13.05,11.91,4.54,11.65,6.14,9.3,19.95,13.88,12.32,6.13,12.07,9.64,3.12,21.78,6.3,0.67,3.2,7.39,7.08,6.76,22.25,0,9.18,7.47,5.2,6.62,7.33,8.2,6.54,2.06,6.54,3.26,6.43,11.05,2.56,7.93,6,5.96,3.14,13.52,6.8,6.77,4.54,8.96,12.85,1.97,5.99,7.71,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc25,20.12,13.15,14.75,13.6,7.13,8.68,6.59,14.42,15.46,9.39,7.83,15.27,9.66,11.34,12.26,28.17,4.55,9.81,10.99,2.87,9.04,11.15,21.22,9.42,0,9.33,8.11,12.95,8.47,9.89,5.94,9.87,6.67,5.91,14.4,17.44,10.36,5.96,7.21,9.1,10.95,19.91,4.77,11.16,9.19,14.09,14.54,8.12,5.66,5.06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Junc1,15.3,5.44,7.03,5.89,7.33,11.35,3.64,6.07,17.09,11.02,9.47,13.52,6.23,3.62,9.57,19.81,6,6.84,9.28,6.17,1.42,2.79,16.4,7.16,8.71,0,1.4,4.59,1.49,2.18,2.81,8.14,2.03,6.11,6.04,9.08,8.64,3.73,1.58,1.55,9.22,11.55,3.94,2.81,2.37,5.73,6.82,6.2,4.85,7.41,1.18,11.88,1.18,2.85,0.86,2.41,0,1.22,1.53,2.18,8.04,2.63,8.47,4.5,7.98,6.75,2.64,9.21,12.07,5.33
Junc2,16.07,6.39,7.98,6.83,6.76,10.78,3.08,7.01,16.52,10.46,8.9,11.26,7,4.57,8.25,20.76,5.43,5.8,7.99,5.6,2,3.74,17.17,5.41,8.15,2.4,0,5.54,2.26,3.13,2.24,6.86,1.47,5.54,5.31,10.03,7.35,3.17,0.93,0.89,7.93,12.5,3.38,3.75,1.08,6.68,7.77,4.92,4.28,6.84,2.33,12.65,2.33,3.8,1.81,1.13,2.4,0.63,2.48,3.12,8.99,2.88,9.42,5.45,8.93,7.52,3.59,10.15,13.02,4.77
Junc3,19.25,6.76,11.41,10.26,7.47,14.58,6.25,5.47,19.7,13.63,12.08,9.79,10.18,8.78,6.78,17.32,9.23,4.05,7.89,8.78,5.18,2.93,20.35,4.37,11.32,5.62,3.31,0,5.44,6.56,5.42,6.76,4.65,6.25,2.6,6.58,6.47,6.34,4.11,4.06,7.83,9.05,6.55,2.94,2.64,4.68,11.2,4.82,7.46,10.64,5.55,15.83,5.55,7.22,4.81,2.68,5.62,3.81,4.51,1.81,12.41,1.82,12.85,8.88,12.35,10.7,1.83,13.58,16.45,8.57
Junc4,13.9,4.8,6.4,5.25,6.98,11,3.29,7.08,16.74,10.67,9.12,14.67,4.83,2.99,10.29,20.96,5.64,7.84,10.84,5.82,0.71,3.94,15,7.45,8.36,1.75,2.04,5.74,0,1.54,2.46,9.71,1.74,5.75,7.19,10.23,10.21,3.38,2.28,2.3,10.79,12.7,3.59,3.95,3.12,6.88,6.19,6.95,4.5,7.05,1.68,10.48,1.68,2.21,2.04,3.16,1.75,2.71,2.68,3.32,7.4,3.77,7.84,3.87,7.34,5.35,3.79,8.57,11.44,4.98
Junc5,14.06,3.26,5.11,3.96,8.53,12.54,4.84,5.54,18.29,12.22,10.66,15.33,6.29,1.44,11.38,21.62,7.19,8.65,12.39,7.37,2.27,4.61,15.16,8.97,9.91,1.88,3.21,6.4,1.55,0,4,9.95,3.29,7.3,7.85,10.89,10.45,4.93,3.83,3.36,11.03,13.36,5.14,4.62,4.18,7.54,4.9,8.01,6.04,8.6,1.81,10.64,1.81,0.93,2.15,4.22,1.88,3.03,3.34,3.99,6.12,4.44,6.55,2.58,6.05,7.56,4.45,7.28,10.15,6.53
Junc6,16.35,7.25,8.84,7.7,4.52,8.54,0.87,8.52,14.32,8.25,6.7,12.66,7.29,5.43,9.65,22.27,3.19,7.2,8.38,3.4,3.14,5.25,17.45,6.81,5.94,3.43,2.21,7.05,2.57,3.99,0,7.26,0.77,3.3,8.5,11.54,7.75,1.55,1.31,3.2,8.34,14,1.17,5.26,3.29,8.19,8.63,5.52,2.08,4.6,3.36,12.93,3.36,4.66,3.72,3.33,3.43,1.75,3.98,4.63,10.01,5.08,10.29,6.32,9.95,7.8,5.1,11.02,13.88,2.53
Junc7,25.45,12.6,15.41,14.27,5.93,13.04,7.53,11.31,21.34,15.27,13.72,8.76,15,12,5.75,23.79,7.69,3.31,2.98,8.78,9.44,8.77,26.56,2.91,10.57,9.83,7.56,8.62,9.69,10.56,7.94,0,8.9,4.65,8.44,13.06,2.03,9.33,8.36,8.32,1.08,15.53,8.19,8.78,6.89,10.96,15.2,4.33,7.39,9.1,9.76,20.08,9.76,11.23,9.24,6.93,9.83,8.07,9.91,7.68,16.42,7.43,16.85,12.88,16.36,14.95,7.51,17.59,20.45,7.03
Junc8,15.62,6.52,8.11,6.97,5.29,9.31,1.61,7.75,15.06,8.99,7.43,12.7,6.55,4.7,9.69,21.5,3.96,7.24,9.15,4.14,2.41,4.48,16.72,6.85,6.68,2.66,1.43,6.28,1.84,3.26,0.77,8.03,0,4.07,7.73,10.76,8.53,1.7,0.54,2.42,9.11,13.23,1.91,4.49,2.52,7.41,7.9,6.35,2.81,5.37,2.59,12.2,2.59,3.93,2.95,2.56,2.66,0.97,3.21,3.86,9.28,4.31,9.55,5.58,9.22,7.07,4.33,10.29,13.15,3.3
Junc9,20.8,10.54,12.13,10.99,1.28,8.39,2.88,10.53,16.69,10.62,9.07,9.36,10.35,8.72,6.35,22.35,3.04,3.9,5.08,4.13,6.43,8.54,21.91,3.51,5.92,6.71,5.49,7.84,5.86,7.28,3.29,3.96,4.06,0,7.64,11.62,4.45,4.68,4.6,6.48,5.04,14.09,3.54,8.55,4.67,10.18,11.92,2.22,2.74,4.45,6.65,16.22,6.65,7.95,7.01,4.71,6.71,5.03,7.27,6.11,13.3,5.21,13.57,9.6,13.24,11.09,5.28,14.31,17.17,2.38
Junc10,20.96,7.43,12.63,11.49,8.88,15.99,7.66,6.14,21.11,15.04,13.48,5.85,11.89,9.22,4.73,15.79,10.63,5.45,9.3,10.19,7.17,3.6,22.07,5.77,12.73,6.84,4.71,3.46,7.15,7.78,6.82,8.16,6.05,7.66,0,5.06,7.88,7.75,5.51,5.47,9.24,7.53,7.96,3.61,4.04,3.15,12.42,6.22,8.86,12.04,6.78,17.54,6.78,8.45,6.04,4.08,6.84,5.22,5.73,3.21,13.64,3.22,14.07,10.11,13.58,12.41,3.24,14.81,17.67,9.97
Junc11,24.52,10.98,16.18,15.04,14.03,20.65,12.94,9.69,26.39,20.32,18.77,7.54,15.44,12.77,8.12,10.73,15.29,10.6,14.44,15.47,10.72,7.15,25.62,10.92,18.01,10.39,10.7,7.01,10.71,11.33,12.11,13.31,11.33,12.8,5.57,0,13.03,13.03,10.88,9.57,14.39,2.47,13.24,7.16,8.54,6.11,15.97,11.37,14.15,16.71,10.33,21.09,10.33,12,9.59,8.58,10.39,10.52,9.29,7.71,17.19,7.72,17.63,13.66,17.13,15.96,7.74,18.36,21.22,14.63
Junc12,21.47,10.57,13.38,12.24,4.86,11.97,6.46,9.28,20.27,14.2,12.64,6.73,12.4,9.97,3.72,21.76,6.62,1.28,3.52,7.71,7.41,6.74,22.57,0.88,9.49,7.8,5.53,6.6,7.66,8.53,6.87,2.38,6.87,3.58,6.41,11.03,0,8.25,6.33,6.29,3.46,13.5,7.12,6.75,4.87,8.93,13.17,2.3,6.31,8.03,7.73,18.05,7.73,9.2,7.21,4.91,7.8,6.04,7.88,5.65,14.39,5.4,14.83,10.86,14.33,12.92,5.48,15.56,18.42,5.95
Junc13,17.24,8.31,9.9,8.76,5.39,9.41,1.75,9.58,13.79,7.73,6.17,13.52,6.78,6.49,10.52,23.32,4.06,8.07,9.25,2.87,4.2,6.31,18.34,7.67,5.42,4.49,3.26,8.1,3.63,5.05,1.09,8.13,1.83,4.17,9.56,12.59,8.62,0,2.37,4.25,9.2,15.06,0.65,6.32,4.35,9.24,9.69,6.38,1.55,5.47,4.42,13.99,4.42,5.72,4.78,4.39,4.49,2.8,5.04,5.69,11.07,6.14,11.34,7.37,11.01,8.86,6.16,12.08,14.94,3.39
Junc14,16.16,7.06,8.65,7.51,5.83,9.85,2.15,7.29,15.6,9.53,7.97,12.16,7.09,5.24,9.15,21.04,4.5,6.7,8.88,4.68,1.46,4.02,17.26,6.31,7.22,2.2,0.89,5.82,2.38,3.8,1.31,7.75,0.54,4.61,7.27,10.31,8.24,2.24,0,1.97,8.83,12.78,2.45,4.03,1.98,6.96,8.44,5.81,3.35,5.91,2.13,12.74,2.13,4.47,2.5,2.02,2.2,0.43,2.76,3.4,9.82,3.85,10.1,6.13,9.76,7.61,3.87,10.83,13.69,3.84
Junc15,16.18,6.15,8.21,7.06,7.72,11.74,4.03,6.64,17.48,11.41,9.86,14.09,7.11,4.8,8.76,20.39,6.38,6.31,8.49,6.56,2.24,3.37,17.29,5.92,9.1,2.49,1.79,5.17,2.37,3.36,3.2,7.36,2.42,6.5,6.62,9.65,7.85,4.12,2.04,0,8.44,12.12,4.33,3.38,0.78,6.3,8,5.42,5.24,7.8,2.42,12.76,2.42,4.03,2.04,0.63,2.49,1.6,2.1,2.75,9.21,3.2,9.65,5.68,9.15,7.63,3.22,10.38,13.25,5.72
Junc16,25.89,13.03,15.85,14.7,6.37,13.48,7.97,11.74,21.78,15.71,14.15,9.2,15.43,12.44,6.19,24.23,8.12,3.74,1.91,9.22,9.87,9.2,26.99,3.35,11,10.26,8,9.06,10.12,11,8.37,1.11,9.34,5.08,8.87,13.49,2.46,9.76,8.79,8.75,0,15.96,8.63,9.21,7.33,11.4,15.64,4.76,7.82,9.53,10.2,20.52,10.2,11.66,9.68,7.37,10.26,8.5,10.34,8.11,16.85,7.87,17.29,13.32,16.79,15.38,7.94,18.02,20.89,7.46
Junc17,26.45,12.91,18.12,16.97,15.96,22.58,14.88,11.63,28.32,22.26,20.7,9.48,17.38,14.71,10.06,8.28,17.23,12.54,16.38,17.41,12.66,9.08,27.55,12.85,19.95,12.33,12.64,8.94,12.64,13.27,14.04,15.24,13.27,14.74,7.5,2.61,14.96,14.97,12.81,11.5,16.32,0,15.18,9.09,10.48,8.04,17.91,13.3,16.08,18.64,12.26,23.03,12.26,13.94,11.52,10.52,12.33,12.45,11.22,9.65,19.12,9.65,19.56,15.59,19.06,17.9,9.67,20.29,23.16,16.57
Junc18,17.31,8.38,9.97,8.83,4.74,8.76,1.82,9.65,13.2,7.13,5.57,12.88,6.86,6.56,9.87,23.4,3.41,7.42,8.6,2.28,4.27,6.38,18.41,7.03,4.82,4.56,3.34,8.18,3.7,5.12,1.17,7.48,1.9,3.52,9.63,12.67,7.97,1.19,2.44,4.33,8.56,15.13,0,6.39,4.42,9.32,9.77,5.74,0.9,4.82,4.49,14.06,4.49,5.79,4.86,4.46,4.56,2.88,5.12,5.76,11.14,6.21,11.42,7.45,11.08,8.93,6.23,12.15,15.01,2.75
Junc19,17.74,5.62,9.41,8.26,9.16,13.87,6.17,4.72,19.61,13.54,11.99,11.07,8.66,6,8.47,17.36,8.52,5.74,9.58,8.69,3.94,0.01,18.84,6.06,11.24,3.62,3.92,2.14,3.93,4.55,5.33,8.45,4.56,7.94,3.6,6.63,8.16,6.25,4.1,2.79,9.52,9.1,6.46,0,4.33,4.24,9.2,6.51,7.37,9.93,3.55,14.32,3.55,5.22,2.81,4.37,3.62,3.74,2.51,2.69,10.41,3.14,10.85,6.88,10.35,9.19,3.15,11.58,14.45,7.85
Junc20,16.86,7.18,8.77,7.62,5.8,11.57,3.87,6.81,17.31,11.24,9.69,10.55,7.79,5.36,7.55,18.66,6.22,5.1,7.28,6.39,2.79,4.53,17.96,4.71,8.94,3.19,0.92,4.13,3.05,3.92,3.03,6.15,2.26,4.58,3.94,7.92,6.64,3.96,1.72,1.67,7.23,10.39,4.17,4.54,0,6.46,8.56,4.21,5.07,7.63,3.12,13.44,3.12,4.58,2.6,0.29,3.19,1.42,3.27,2.42,9.77,1.04,10.21,6.24,9.71,8.31,1.12,10.94,13.81,5.55
Junc21,20.64,6.12,12.31,11.16,11.12,16.77,9.07,3.77,22.52,16.45,14.89,10.03,11.57,8.14,10.43,16.32,11.42,7.69,11.53,11.6,6.85,4.24,21.74,8.01,14.14,6.52,6.83,4.1,6.83,7.46,8.23,10.4,7.46,9.89,3.15,5.59,10.11,9.16,7,5.7,11.48,8.06,9.37,4.25,6.28,0,12.1,8.46,10.27,12.83,6.45,17.22,6.45,8.13,5.71,6.32,6.52,6.64,5.41,5.59,13.31,6.04,13.75,9.78,13.26,12.09,6.06,14.48,17.35,10.76
Junc22,10.07,6.6,0.44,1.44,13.1,17.12,9.41,9.56,22.86,16.8,15.24,19.9,10.66,6.3,15.96,26.2,11.77,13.22,16.96,11.94,6.84,9.18,11.17,13.54,14.48,6.45,7.79,10.98,6.12,4.87,8.58,14.53,7.86,11.88,12.43,15.46,15.02,9.5,8.4,7.93,15.61,17.93,9.71,9.19,8.76,12.12,0,12.59,10.62,13.18,6.38,6.65,6.38,5.52,6.72,8.8,6.45,7.6,7.91,8.56,2.88,9.01,2.56,3.88,2.82,4.33,9.03,3.29,5.32,11.1
Junc23,22.88,10.37,12.83,11.69,3.35,10.46,4.95,9.08,18.76,12.7,11.14,8.06,12.42,9.42,5.05,21.56,5.11,2.61,4.79,6.2,6.86,6.54,23.98,2.21,7.99,7.25,4.98,6.39,7.11,7.98,5.36,3.66,6.32,2.07,6.21,10.83,4.15,6.75,5.78,5.74,4.73,13.3,5.62,6.55,4.31,8.73,12.62,0,4.81,6.52,7.18,17.5,7.18,8.65,6.66,4.36,7.25,5.49,7.33,5.45,13.84,4.85,14.28,10.3,13.78,12.37,4.93,15.01,17.87,4.45
Junc24,19.32,10.09,11.69,10.54,3.9,7.92,1.95,11.36,15.21,9.14,7.58,12.04,8.87,8.27,9.03,25.11,2.57,6.58,7.76,3.66,5.98,8.09,20.43,6.19,5.45,6.27,5.05,9.89,5.41,6.83,2.84,6.64,3.61,2.68,10.28,14.38,7.13,3.19,4.15,6.04,7.72,16.84,2.06,8.1,6.13,11.03,11.47,4.9,0,3.98,6.2,15.77,6.2,7.5,6.57,6.17,6.27,4.59,6.83,7.47,12.85,7.86,13.13,9.16,12.79,10.64,7.93,13.86,16.72,1.91
